epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,929.074,0,4.1832,0,0,0,0,0,0,0,0,0.00333288,0.00333288,0.00333288
2,1702.81,0,0,0,0,0,0,0,0,0,0,0.00600626,0.00600626,0.00600626
3,2467.9,0,0,0,0,0,0,0,0,0,0,0.00801964,0.00801964,0.00801964
4,3229.73,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
5,3991.47,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
6,4756.61,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
7,5521.82,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
8,6288.92,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
9,7057.68,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
10,7823.95,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
